tender_type,tender_id,title,link,customer,published_date,end_date,parsed_date
Объявление о продаже,4133147,"Аренда складского помещения, г.Новосибирск
- Аренда складского помещения 240 кв.метров.
- Длина 30 метров, ширина 9 метров, высота потолка 7 метров.
- Двое ворот.
- Сaн.узлел.
- Центральные коммуникации.
- Предоставление юридического адреса.",https://www.b2b-center.ru/market/arenda-skladskogo-pomeshcheniia-g-novosibirsk/tender-4133147/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133147003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 13:22,15.10.2025 13:00,2025-08-10 14:59:26
Запрос предложений,4133129,"Габионные сетчатые изделия, георешетки, геотекстиль для создания армогрунтовых стенок. ООО ""Рудник Таборный"" ""ГОК Роман"".
Габионные сетчатые изделия, георешетки, геотекстиль для создания армогрунтовых стенок ГОСТ 52132-2003. ООО ""Рудник Таборный"" ""ГОК Роман"".",https://www.b2b-center.ru/market/gabionnye-setchatye-izdeliia-georeshetki-geotekstil-dlia-sozdaniia/tender-4133129/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133129004,"ООО ""НМ""",10.08.2025 13:19,15.08.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133145,"Бульдозер Zoomlion ZD160-3
Бульдозер Zoomlion ZD160-3
Год выпуска 2013
Капитальный ремонт в 2025 году
Хорошее рабочее состояние
Организуем доставку",https://www.b2b-center.ru/market/buldozer-zoomlion-zd160-3/tender-4133145/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133145003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:26,15.08.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133143,"Отдельно стоящее здание г.Искитим
- Продажа отдельно стоящего здания 760 кв.метров.
- НСО, г.Искитим, ул.Комсомольская дом 30 А
- 2 этажа, три отдельных входа.
- Центральные коммуникации.
- Земельный участок в собственности.",https://www.b2b-center.ru/market/otdelno-stoiashchee-zdanie-g-iskitim/tender-4133143/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133143003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:24,15.08.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133142,"Зерноуборочный комбайн Ростсельмаш ACROS 530
- Зерноуборочный комбайн РСМ-142 ACROS-530
- 2008 год.
- В отличном состоянии. Готов к работе.
- Регулярное техническое обслуживание.
- Жатка 7 метров в комплекте.
- Организуем доставку.",https://www.b2b-center.ru/market/zernouborochnyi-kombain-rostselmash-acros-530/tender-4133142/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133142003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:17,15.08.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133141,"Газель Бизнес (Микроавтобус 4WD)
- Газель Бизнес (Микроавтобус 4WD)
- 2011 год
- Полный привод
- 11 пассажирских мест
- Категория D
- В хорошем состоянии
- Организуем доставку",https://www.b2b-center.ru/market/gazel-biznes-mikroavtobus-4wd/tender-4133141/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133141003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:15,15.10.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133140,"Микроавтобус Hyundai Grand Starex
- Микроавтобус Hyundai Grand Starex
- 2011 год
- Задний привод
- Сигнализация
- Webasto
- Хорошее состояние
- Организуем доставку",https://www.b2b-center.ru/market/mikroavtobus-hyundai-grand-starex/tender-4133140/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133140003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:10,15.10.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133139,"Аренда офисного помещения, г.Новосибирск
- Аренда офисного помещения 35 кв.метров.
- г.Новосибирск, ул.Демакова дом 27, 7 этаж
- Помeщeние c xоpoшим pемoнтoм.
- Два caн.узла.
- Teлeфон, интернет, видеонаблюдение.
- Предоставление юридического адреса.",https://www.b2b-center.ru/market/arenda-ofisnogo-pomeshcheniia-g-novosibirsk/tender-4133139/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133139003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:08,15.10.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133138,"Аренда нежилого помещения, Алтайский край, г.Яровое.
- Аренда нежилого помещения 240 кв.метров.
- Алтайский край, г.Яровое, ул.Квартал Б дом 17
- 1 этаж, три отдельных входа.
- Центральные коммуникации.
- Большая парковка.
- Teлeфон, интернет, видеонаблюдение.
- Предоставление юридического адреса.",https://www.b2b-center.ru/market/arenda-nezhilogo-pomeshcheniia-altaiskii-krai-g-iarovoe/tender-4133138/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133138003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:05,15.10.2025 12:00,2025-08-10 14:59:26
Объявление о продаже,4133137,"Продажа нежилого помещения, Алтайский край, г.Яровое.
- Продажа нежилого помещения 240 кв.метров.
- Алтайский край, г.Яровое, ул.Квартал Б дом 17
- 1 этаж, три отдельных входа.
- Центральные коммуникации.
- Большая парковка.
- Teлeфон, интернет, видеонаблюдение.
- Предоставление юридического адреса.",https://www.b2b-center.ru/market/prodazha-nezhilogo-pomeshcheniia-altaiskii-krai-g-iarovoe/tender-4133137/#btid=2&sqh=c1b0e6dbb4973e65a3077d5db8cbbf4e58346a51&tsid=4133137003,"ООО ""ТЕХНОСЕРВИС""",10.08.2025 12:03,15.10.2025 12:00,2025-08-10 14:59:26
